Simulation Filename,Realistic Filename,Mean Square Error(MSE),Structural Similarity(SSIM),ERROR,Img Subtraction
2.0048.png,2.0047.png,0.06964443,0.33,0.6699999999999999,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.05490196 0.05490196 0.05490196 ... 0.02352941 0.00784314 0.01176471]
 [0.07843137 0.08627451 0.09411765 ... 0.06666667 0.0627451  0.07058824]
 [0.07843137 0.08627451 0.09803922 ... 0.08627451 0.09019608 0.08627451]]"
2.0050.png,2.0049.png,0.06787135,0.32,0.6799999999999999,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.06666667 0.05490196 0.04705882 ... 0.         0.         0.        ]
 [0.10980392 0.08627451 0.0627451  ... 0.         0.         0.        ]
 [0.14117647 0.11764706 0.08627451 ... 0.         0.         0.        ]]"
2.0052.png,2.0051.png,0.056077,0.36,0.64,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.01176471 0.01176471 0.01960784 ... 0.2745098  0.26666667 0.23529412]
 [0.00784314 0.01176471 0.01960784 ... 0.20784314 0.23529412 0.17254902]
 [0.00784314 0.01568627 0.02745098 ... 0.15294118 0.15686275 0.11764706]]"
2.0054.png,2.0053.png,0.05221089,0.39,0.61,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.01176471 0.01568627 0.02745098 ... 0.02745098 0.01176471 0.        ]
 [0.00784314 0.00392157 0.01960784 ... 0.01176471 0.02352941 0.02745098]
 [0.01176471 0.00392157 0.01960784 ... 0.04705882 0.05490196 0.05490196]]"
2.0056.png,2.0055.png,0.04736525,0.41,0.5900000000000001,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.0745098  0.0627451  0.05098039]
 [0.00784314 0.00784314 0.         ... 0.0627451  0.05098039 0.03921569]
 [0.02745098 0.01568627 0.00784314 ... 0.04313725 0.02745098 0.01960784]]"
2.0058.png,2.0057.png,0.03956886,0.43,0.5700000000000001,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.04313725 0.05490196 0.08235294 ... 0.         0.         0.00392157]
 [0.03921569 0.01960784 0.02745098 ... 0.         0.00392157 0.00784314]
 [0.09411765 0.05882353 0.02352941 ... 0.00392157 0.00784314 0.00784314]]"
2.0060.png,2.0059.png,0.04598786,0.41,0.5900000000000001,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.11764706 0.09411765 0.07058824 ... 0.0745098  0.08235294 0.09019608]
 [0.0745098  0.06666667 0.0627451  ... 0.05490196 0.0627451  0.06666667]
 [0.04705882 0.04313725 0.04313725 ... 0.01568627 0.02352941 0.02352941]]"
2.0062.png,2.0061.png,0.03410798,0.44,0.56,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.10196078 0.10980392 0.10588235 ... 0.02352941 0.00784314 0.01176471]
 [0.01176471 0.01176471 0.01176471 ... 0.01960784 0.00392157 0.01568627]
 [0.0627451  0.0745098  0.05882353 ... 0.01960784 0.00784314 0.01960784]]"
2.0064.png,2.0063.png,0.03151359,0.45,0.55,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00392157 0.00392157 0.00784314 ... 0.00784314 0.01176471 0.02352941]
 [0.01176471 0.01176471 0.01568627 ... 0.00392157 0.00784314 0.00784314]
 [0.02352941 0.03921569 0.04313725 ... 0.         0.         0.        ]]"
2.0066.png,2.0065.png,0.02820296,0.47,0.53,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.03529412 0.03921569 0.04313725 ... 0.01960784 0.03921569 0.05098039]
 [0.03137255 0.03921569 0.03529412 ... 0.01960784 0.04313725 0.05490196]
 [0.00784314 0.00784314 0.01568627 ... 0.01960784 0.04313725 0.05882353]]"
